2023-05-21 18:39: Experiment log path in: C:\旧电脑文件\毕业相关\第二个模型\TATCN\TARGCN\model\experiments\PEMSD4\20230521183948
2023-05-21 18:39: Train Epoch 0: 0/317 Loss: 229.920074
2023-05-21 18:39: Train Epoch 0: 20/317 Loss: 55.509579
2023-05-21 18:40: Train Epoch 0: 40/317 Loss: 42.391212
2023-05-21 18:40: Train Epoch 0: 60/317 Loss: 39.529446
2023-05-21 18:40: Train Epoch 0: 80/317 Loss: 36.375801
2023-05-21 18:40: Train Epoch 0: 100/317 Loss: 38.894829
2023-05-21 18:40: Train Epoch 0: 120/317 Loss: 32.503082
2023-05-21 18:40: Train Epoch 0: 140/317 Loss: 31.904156
2023-05-21 18:40: Train Epoch 0: 160/317 Loss: 32.931133
2023-05-21 18:40: Train Epoch 0: 180/317 Loss: 31.336075
2023-05-21 18:40: Train Epoch 0: 200/317 Loss: 29.046303
2023-05-21 18:40: Train Epoch 0: 220/317 Loss: 25.539669
2023-05-21 18:40: Train Epoch 0: 240/317 Loss: 28.117041
2023-05-21 18:41: Train Epoch 0: 260/317 Loss: 33.480602
2023-05-21 18:41: Train Epoch 0: 280/317 Loss: 29.527897
2023-05-21 18:41: Train Epoch 0: 300/317 Loss: 29.665457
2023-05-21 18:41: **********Train Epoch 0: averaged Loss: 37.571287, tf_ratio: 1.000000
2023-05-21 18:41: **********Val Epoch 0: average Loss: 30.545713
2023-05-21 18:41: ******Current best model saved:model_para/PEMSD4/epoch_0.pth!
2023-05-21 18:41: Train Epoch 1: 0/317 Loss: 29.176334
2023-05-21 18:41: Train Epoch 1: 20/317 Loss: 25.929251
2023-05-21 18:41: Train Epoch 1: 40/317 Loss: 26.422550
2023-05-21 18:41: Train Epoch 1: 60/317 Loss: 27.661915
2023-05-21 18:41: Train Epoch 1: 80/317 Loss: 25.542105
2023-05-21 18:41: Train Epoch 1: 100/317 Loss: 26.621786
2023-05-21 18:41: Train Epoch 1: 120/317 Loss: 25.163414
2023-05-21 18:41: Train Epoch 1: 140/317 Loss: 27.593176
2023-05-21 18:42: Train Epoch 1: 160/317 Loss: 28.239614
2023-05-21 18:42: Train Epoch 1: 180/317 Loss: 25.974953
2023-05-21 18:42: Train Epoch 1: 200/317 Loss: 26.492380
2023-05-21 18:42: Train Epoch 1: 220/317 Loss: 26.056610
2023-05-21 18:42: Train Epoch 1: 240/317 Loss: 23.569248
2023-05-21 18:42: Train Epoch 1: 260/317 Loss: 27.461706
2023-05-21 18:42: Train Epoch 1: 280/317 Loss: 26.076757
2023-05-21 18:42: Train Epoch 1: 300/317 Loss: 23.998690
